Municipio		Superficie		Autonomía		CP		Provincia		CPJ		Partido_Judicial
Benasau		9,04		Comunidad Valenciana		03		Alicante/Alacant		0302		Alcoy
Beneixama		34,89		Comunidad Valenciana		03		Alicante/Alacant		0307		Villena
Benejúzar		9,33		Comunidad Valenciana		03		Alicante/Alacant		0304		Orihuela
Benferri		12,36		Comunidad Valenciana		03		Alicante/Alacant		0304		Orihuela
Beniarbeig		7,40		Comunidad Valenciana		03		Alicante/Alacant		0301		Dénia
Beniardá		15,74		Comunidad Valenciana		03		Alicante/Alacant		0305		Villajoyosa
Beniarrés		20,21		Comunidad Valenciana		03		Alicante/Alacant		0302		Alcoy
Benigembla		18,45		Comunidad Valenciana		03		Alicante/Alacant		0301		Dénia
Benidoleig		7,49		Comunidad Valenciana		03		Alicante/Alacant		0301		Dénia
Benidorm		38,51		Comunidad Valenciana		03		Alicante/Alacant		0309		Benidorm
Benifallim		13,69		Comunidad Valenciana		03		Alicante/Alacant		0302		Alcoy
Benifato		11,88		Comunidad Valenciana		03		Alicante/Alacant		0305		Villajoyosa
Benijófar		4,36		Comunidad Valenciana		03		Alicante/Alacant		0313		Torrevieja
Benilloba		9,54		Comunidad Valenciana		03		Alicante/Alacant		0302		Alcoy
Benillup		3,38		Comunidad Valenciana		03		Alicante/Alacant		0302		Alcoy
Benimantell		37,91		Comunidad Valenciana		03		Alicante/Alacant		0305		Villajoyosa
Benimarfull		5,56		Comunidad Valenciana		03		Alicante/Alacant		0302		Alcoy
Benimassot		9,51		Comunidad Valenciana		03		Alicante/Alacant		0302		Alcoy
Benimeli		3,50		Comunidad Valenciana		03		Alicante/Alacant		0301		Dénia
Benissa		69,71		Comunidad Valenciana		03		Alicante/Alacant		0301		Dénia
Benitachell/Poble Nou de Benitatxell, el		12,65		Comunidad Valenciana		03		Alicante/Alacant		0301		Dénia
Biar		98,17		Comunidad Valenciana		03		Alicante/Alacant		0307		Villena
Bigastro		4,10		Comunidad Valenciana		03		Alicante/Alacant		0304		Orihuela
Bolulla		13,57		Comunidad Valenciana		03		Alicante/Alacant		0305		Villajoyosa
Busot		33,84		Comunidad Valenciana		03		Alicante/Alacant		0310		San Vicente del Raspeig
Calp		23,64		Comunidad Valenciana		03		Alicante/Alacant		0301		Dénia
Callosa dEn Sarrià		34,66		Comunidad Valenciana		03		Alicante/Alacant		0305		Villajoyosa
Callosa de Segura		24,77		Comunidad Valenciana		03		Alicante/Alacant		0304		Orihuela
Campello, el		55,27		Comunidad Valenciana		03		Alicante/Alacant		0303		Alicante
Campo de Mirra/Camp de Mirra, el		21,82		Comunidad Valenciana		03		Alicante/Alacant		0307		Villena
Cañada		19,32		Comunidad Valenciana		03		Alicante/Alacant		0307		Villena
Castalla		114,60		Comunidad Valenciana		03		Alicante/Alacant		0312		Ibi
Castell de Castells		45,92		Comunidad Valenciana		03		Alicante/Alacant		0301		Dénia
Catral		20,01		Comunidad Valenciana		03		Alicante/Alacant		0304		Orihuela
Cocentaina		52,94		Comunidad Valenciana		03		Alicante/Alacant		0302		Alcoy
Confrides		39,98		Comunidad Valenciana		03		Alicante/Alacant		0305		Villajoyosa
Cox		16,76		Comunidad Valenciana		03		Alicante/Alacant		0304		Orihuela
Crevillent		104,55		Comunidad Valenciana		03		Alicante/Alacant		0308		Elche
Quatretondeta		16,70		Comunidad Valenciana		03		Alicante/Alacant		0302		Alcoy
Daya Nueva		7,09		Comunidad Valenciana		03		Alicante/Alacant		0304		Orihuela
Daya Vieja		2,98		Comunidad Valenciana		03		Alicante/Alacant		0304		Orihuela
Dénia		66,18		Comunidad Valenciana		03		Alicante/Alacant		0301		Dénia
Dolores		18,70		Comunidad Valenciana		03		Alicante/Alacant		0304		Orihuela
Elche/Elx		326,07		Comunidad Valenciana		03		Alicante/Alacant		0308		Elche
Elda		45,79		Comunidad Valenciana		03		Alicante/Alacant		0306		Elda
Facheca		10,17		Comunidad Valenciana		03		Alicante/Alacant		0302		Alcoy
Famorca		9,72		Comunidad Valenciana		03		Alicante/Alacant		0302		Alcoy
Finestrat		42,25		Comunidad Valenciana		03		Alicante/Alacant		0309		Benidorm
Formentera del Segura		4,33		Comunidad Valenciana		03		Alicante/Alacant		0304		Orihuela
Gata de Gorgos		20,33		Comunidad Valenciana		03		Alicante/Alacant		0301		Dénia
Gaianes		9,57		Comunidad Valenciana		03		Alicante/Alacant		0302		Alcoy
